claim_id,rating_group,accident_year,accident_date,report_date,true_ultimate,close_date,status
CLM-000001,A,2020,2020-02-02,2020-02-16,13516.06,2022-05-03,Closed
CLM-000002,A,2020,2020-10-10,2020-11-07,6711.01,2022-10-25,Closed
CLM-000003,A,2020,2020-08-27,2020-09-09,5262.39,2022-05-05,Closed
CLM-000004,A,2020,2020-06-09,2020-06-28,2677.91,2021-06-22,Closed
CLM-000005,A,2020,2020-06-07,2020-07-16,1636.91,2021-07-08,Closed
CLM-000006,A,2020,2020-11-10,2020-11-23,4088.53,2022-07-14,Closed
CLM-000007,A,2020,2020-02-01,2020-03-07,5705.04,2021-05-12,Closed
CLM-000008,A,2020,2020-09-12,2020-10-14,23209.79,2021-12-02,Closed
CLM-000009,A,2020,2020-03-14,2020-03-24,6574.02,2021-01-19,Closed
CLM-000010,A,2020,2020-02-04,2020-03-14,12676.63,2022-04-05,Closed
CLM-000011,A,2020,2020-07-11,2020-08-12,4047.83,2021-12-06,Closed
CLM-000012,A,2020,2020-12-23,2021-01-13,2387.01,2025-12-15,Closed
CLM-000013,A,2020,2020-09-26,2020-10-07,2827.44,2022-06-12,Closed
CLM-000014,A,2020,2020-10-05,2020-10-15,3401.28,2022-06-16,Closed
CLM-000015,A,2020,2020-09-19,2020-10-02,30639.49,2022-09-23,Closed
CLM-000016,A,2020,2020-10-14,2020-11-12,3158.45,2022-01-25,Closed
CLM-000017,A,2020,2020-07-06,2020-07-16,11343.53,2023-08-26,Closed
CLM-000018,A,2020,2020-02-16,2020-03-14,2966.18,2021-10-04,Closed
CLM-000019,A,2020,2020-11-03,2020-11-11,12186.73,2022-07-02,Closed
CLM-000020,A,2020,2020-06-13,2020-06-30,7998.84,2022-04-14,Closed
CLM-000021,A,2020,2020-07-02,2020-07-23,5270.49,2021-11-01,Closed
CLM-000022,A,2020,2020-05-15,2020-09-02,5762.55,2022-07-14,Closed
CLM-000023,A,2020,2020-03-07,2020-03-14,3590.93,2020-11-14,Closed
CLM-000024,A,2020,2020-12-05,2021-01-30,8384.44,2024-05-05,Closed
CLM-000025,A,2020,2020-10-13,2020-11-04,4188.38,2021-04-08,Closed
CLM-000026,A,2020,2020-08-23,2020-09-18,2313.41,2021-12-29,Closed
CLM-000027,A,2020,2020-05-27,2020-06-17,2222.01,2022-07-24,Closed
CLM-000028,A,2020,2020-10-28,2020-11-24,6791.82,2022-04-24,Closed
CLM-000029,A,2020,2020-07-18,2020-08-04,20067.79,2023-08-19,Closed
CLM-000030,A,2020,2020-06-11,2020-08-05,6726.24,2023-12-03,Closed
CLM-000031,A,2020,2020-06-13,2020-06-27,5427.04,2025-03-21,Closed
CLM-000032,A,2020,2020-03-24,2020-05-07,7410.84,2022-07-21,Closed
CLM-000033,A,2020,2020-02-03,2020-02-15,16260.87,2022-11-19,Closed
CLM-000034,A,2020,2020-07-21,2020-08-09,7732.26,2023-12-18,Closed
CLM-000035,A,2020,2020-11-20,2020-11-29,4332.96,2021-11-02,Closed
CLM-000036,A,2020,2020-01-24,2020-02-20,13942.29,2021-09-09,Closed
CLM-000037,A,2020,2020-11-10,2021-01-03,8273.35,2023-05-17,Closed
CLM-000038,A,2020,2020-10-29,2020-11-16,19408.98,2022-04-21,Closed
CLM-000039,A,2020,2020-04-11,2020-04-28,6847.75,2021-06-02,Closed
CLM-000040,A,2020,2020-08-19,2020-08-28,2315.44,2021-02-16,Closed
CLM-000041,A,2020,2020-03-01,2020-03-18,2072.83,2021-02-12,Closed
CLM-000042,A,2020,2020-10-04,2020-10-10,21209.52,2023-07-22,Closed
