transaction_id,claim_id,transaction_date,transaction_type,amount
TX-0000001,CLM-000001,2020-06-08,Payment,2465.65
TX-0000002,CLM-000001,2020-06-08,CaseReserveEstimate,11689.69
TX-0000003,CLM-000001,2020-06-23,Payment,393.44
TX-0000004,CLM-000001,2020-06-23,CaseReserveEstimate,14551.72
TX-0000005,CLM-000001,2020-11-09,Payment,3636.21
TX-0000006,CLM-000001,2020-11-09,CaseReserveEstimate,7016.06
TX-0000007,CLM-000001,2021-03-16,Payment,2691.91
TX-0000008,CLM-000001,2021-03-16,CaseReserveEstimate,3518.05
TX-0000009,CLM-000001,2022-05-03,Payment,4328.85
TX-0000010,CLM-000001,2022-05-03,CaseReserveEstimate,0.0
TX-0000011,CLM-000002,2020-12-16,Payment,328.22
TX-0000012,CLM-000002,2020-12-16,CaseReserveEstimate,7494.81
TX-0000013,CLM-000002,2021-02-27,Payment,930.44
TX-0000014,CLM-000002,2021-02-27,CaseReserveEstimate,7067.04
TX-0000015,CLM-000002,2021-10-19,Payment,2995.75
TX-0000016,CLM-000002,2021-10-19,CaseReserveEstimate,2153.82
TX-0000017,CLM-000002,2022-01-29,Payment,960.48
TX-0000018,CLM-000002,2022-01-29,CaseReserveEstimate,1558.28
TX-0000019,CLM-000002,2022-10-25,Payment,1496.12
TX-0000020,CLM-000002,2022-10-25,CaseReserveEstimate,0.0
TX-0000021,CLM-000003,2021-07-30,Payment,3392.03
TX-0000022,CLM-000003,2021-07-30,CaseReserveEstimate,2137.11
TX-0000023,CLM-000003,2021-09-05,Payment,334.22
TX-0000024,CLM-000003,2021-09-05,CaseReserveEstimate,1913.48
TX-0000025,CLM-000003,2022-05-05,Payment,1536.14
TX-0000026,CLM-000003,2022-05-05,CaseReserveEstimate,0.0
TX-0000027,CLM-000004,2021-04-08,Payment,2165.12
TX-0000028,CLM-000004,2021-04-08,CaseReserveEstimate,515.03
TX-0000029,CLM-000004,2021-06-22,Payment,512.79
TX-0000030,CLM-000004,2021-06-22,CaseReserveEstimate,0.0
TX-0000031,CLM-000005,2021-01-13,Payment,831.87
TX-0000032,CLM-000005,2021-01-13,CaseReserveEstimate,1037.84
TX-0000033,CLM-000005,2021-07-08,Payment,805.04
TX-0000034,CLM-000005,2021-07-08,CaseReserveEstimate,0.0
TX-0000035,CLM-000006,2022-01-07,Payment,3220.34
TX-0000036,CLM-000006,2022-01-07,CaseReserveEstimate,975.97
