table,key,issue_type,detail
claims_header,CLM-000537,missing_rating_group,was A
claims_header,CLM-000765,missing_rating_group,was A
claims_header,CLM-002688,missing_rating_group,was B
claims_header,CLM-002953,missing_rating_group,was B
claims_header,CLM-002057,missing_rating_group,was B
claims_header,CLM-002419,missing_rating_group,was B
claims_header,CLM-000207,missing_report_date,was 2020-11-05
claims_header,CLM-001084,missing_report_date,was 2023-01-28
claims_header,CLM-000181,missing_report_date,was 2020-12-26
claims_header,CLM-001589,missing_report_date,was 2024-09-30
claims_header,CLM-001944,missing_report_date,was 2025-03-13
claims_header,CLM-000908,missing_report_date,was 2022-12-01
claims_header,CLM-002393,missing_report_date,was 2022-03-27
claims_header,CLM-002749,missing_report_date,was 2024-08-02
claims_header,CLM-001376,missing_report_date,was 2024-12-25
claims_header,CLM-000829,missing_report_date,was 2022-08-29
claims_header,CLM-000396,missing_report_date,was 2021-12-12
claims_header,CLM-001828,missing_report_date,was 2025-12-31
claims_header,CLM-000325,missing_report_date,was 2021-05-30
claims_transactions,TX-0004337,decimal_point_error,amount 3781.53 -> 378.15 (x0.1)
claims_transactions,TX-0004431,decimal_point_error,amount 7272.4 -> 72724.0 (x10.0)
claims_transactions,TX-0007957,decimal_point_error,amount 21922.21 -> 2192.22 (x0.1)
claims_transactions,TX-0009363,decimal_point_error,amount 128.54 -> 12.85 (x0.1)
claims_transactions,TX-0021185,decimal_point_error,amount 2836.18 -> 283.62 (x0.1)
claims_transactions,TX-0023283,decimal_point_error,amount 9471.08 -> 947.11 (x0.1)
claims_transactions,TX-0022227,decimal_point_error,amount 3686.75 -> 368.68 (x0.1)
claims_transactions,TX-0015685,decimal_point_error,amount 1693.84 -> 16938.4 (x10.0)
claims_transactions,TX-0019267,decimal_point_error,amount 356.11 -> 35.61 (x0.1)
claims_transactions,TX-0002689,decimal_point_error,amount 1007.23 -> 10072.3 (x10.0)
claims_transactions,TX-0005027,decimal_point_error,amount 14.91 -> 1.49 (x0.1)
claims_transactions,TX-0001107,decimal_point_error,amount 3526.8 -> 352.68 (x0.1)
claims_transactions,TX-0025941,decimal_point_error,amount 3614.07 -> 361.41 (x0.1)
claims_transactions,TX-0015849,decimal_point_error,amount 18.53 -> 185.3 (x10.0)
claims_transactions,TX-0006985,decimal_point_error,amount 7126.75 -> 712.68 (x0.1)
claims_transactions,TX-0023383,decimal_point_error,amount 519.78 -> 51.98 (x0.1)
claims_transactions,TX-0010995,decimal_point_error,amount 2454.58 -> 24545.8 (x10.0)
claims_transactions,TX-0000431,decimal_point_error,amount 653.91 -> 65.39 (x0.1)
claims_transactions,TX-0001613,decimal_point_error,amount 492.05 -> 49.21 (x0.1)
claims_transactions,TX-0004095,decimal_point_error,amount 235.99 -> 23.6 (x0.1)
claims_transactions,TX-0022759,decimal_point_error,amount 50267.39 -> 5026.74 (x0.1)
claims_transactions,TX-0006543,decimal_point_error,amount 2598.11 -> 259.81 (x0.1)
claims_transactions,TX-0003573,decimal_point_error,amount 19.18 -> 1.92 (x0.1)
