claim_id,rating_group,accident_year,accident_date,report_date,close_date,status
CLM-000001,A,2020,2020-02-02,2020-02-16,2022-05-03,Closed
CLM-000002,A,2020,2020-10-10,2020-11-07,2022-10-25,Closed
CLM-000003,A,2020,2020-08-27,2020-09-09,2022-05-05,Closed
CLM-000004,A,2020,2020-06-09,2020-06-28,2021-06-22,Closed
CLM-000005,A,2020,2020-06-07,2020-07-16,2021-07-08,Closed
CLM-000006,A,2020,2020-11-10,2020-11-23,2022-07-14,Closed
CLM-000007,A,2020,2020-02-01,2020-03-07,2021-05-12,Closed
CLM-000008,A,2020,2020-09-12,2020-10-14,2021-12-02,Closed
CLM-000009,A,2020,2020-03-14,2020-03-24,2021-01-19,Closed
CLM-000010,A,2020,2020-02-04,2020-03-14,2022-04-05,Closed
CLM-000011,A,2020,2020-07-11,2020-08-12,2021-12-06,Closed
CLM-000012,A,2020,2020-12-23,2021-01-13,2025-12-15,Closed
CLM-000013,A,2020,2020-09-26,2020-10-07,2022-06-12,Closed
CLM-000014,A,2020,2020-10-05,2020-10-15,2022-06-16,Closed
CLM-000015,A,2020,2020-09-19,2020-10-02,2022-09-23,Closed
CLM-000016,A,2020,2020-10-14,2020-11-12,2022-01-25,Closed
CLM-000017,A,2020,2020-07-06,2020-07-16,2023-08-26,Closed
CLM-000018,A,2020,2020-02-16,2020-03-14,2021-10-04,Closed
CLM-000019,A,2020,2020-11-03,2020-11-11,2022-07-02,Closed
CLM-000020,A,2020,2020-06-13,2020-06-30,2022-04-14,Closed
CLM-000021,A,2020,2020-07-02,2020-07-23,2021-11-01,Closed
CLM-000022,A,2020,2020-05-15,2020-09-02,2022-07-14,Closed
CLM-000023,A,2020,2020-03-07,2020-03-14,2020-11-14,Closed
CLM-000024,A,2020,2020-12-05,2021-01-30,2024-05-05,Closed
CLM-000025,A,2020,2020-10-13,2020-11-04,2021-04-08,Closed
CLM-000026,A,2020,2020-08-23,2020-09-18,2021-12-29,Closed
CLM-000027,A,2020,2020-05-27,2020-06-17,2022-07-24,Closed
CLM-000028,A,2020,2020-10-28,2020-11-24,2022-04-24,Closed
CLM-000029,A,2020,2020-07-18,2020-08-04,2023-08-19,Closed
CLM-000030,A,2020,2020-06-11,2020-08-05,2023-12-03,Closed
CLM-000031,A,2020,2020-06-13,2020-06-27,2025-03-21,Closed
CLM-000032,A,2020,2020-03-24,2020-05-07,2022-07-21,Closed
CLM-000033,A,2020,2020-02-03,2020-02-15,2022-11-19,Closed
CLM-000034,A,2020,2020-07-21,2020-08-09,2023-12-18,Closed
CLM-000035,A,2020,2020-11-20,2020-11-29,2021-11-02,Closed
CLM-000036,A,2020,2020-01-24,2020-02-20,2021-09-09,Closed
CLM-000037,A,2020,2020-11-10,2021-01-03,2023-05-17,Closed
CLM-000038,A,2020,2020-10-29,2020-11-16,2022-04-21,Closed
CLM-000039,A,2020,2020-04-11,2020-04-28,2021-06-02,Closed
CLM-000040,A,2020,2020-08-19,2020-08-28,2021-02-16,Closed
CLM-000041,A,2020,2020-03-01,2020-03-18,2021-02-12,Closed
CLM-000042,A,2020,2020-10-04,2020-10-10,2023-07-22,Closed
CLM-000043,A,2020,2020-09-13,2020-09-23,2021-04-28,Closed
CLM-000044,A,2020,2020-05-09,2020-06-01,2023-02-21,Closed
CLM-000045,A,2020,2020-01-25,2020-03-15,2021-02-05,Closed
CLM-000046,A,2020,2020-12-21,2021-05-12,2022-10-08,Closed
